Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0042,14.9,4.16,18.84,4.04,18.82,PASS,PASS,0.89,22.04,7.41,22.01,7.43,10002.5,48.71,10041.42,48.88,31434.18,57.52,31434.18,45.62,49.988,50.02698,PASSED,PASSED,PASSED,PASSED,998.4,978.4,FAIL,Failed Test Output Voltage 5V,
ZJ2404122-001-0042,14.89,4.08,18.91,3.67,18.87,PASS,PASS,5.28,22.04,7.41,22.02,7.44,10002.5,48.74,10041.42,48.93,31421.84,57.86,31421.84,47.53,50.07913,50.02301,PASSED,PASSED,PASSED,PASSED,994.4,997.6,PASS,
ZJ2404122-001-0043,14.89,4.07,18.77,3.92,18.69,PASS,FAIL,5.31,22.04,7.43,22,7.44,10002.5,48.74,10041.42,48.9,31360.25,57.04,31372.55,46.94,49.97601,49.997,PASSED,PASSED,FAILED,FAILED,979.2,985.6,FAIL,Failed OVLO Test,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0043,14.89,4.09,18.81,3.87,18.73,PASS,PASS,5.32,22.03,7.42,21.99,7.45,10002.5,48.74,10041.42,48.88,31347.96,58.27,31347.96,48,50.02902,49.95304,PASSED,PASSED,PASSED,PASSED,997.6,1328,PASS,
ZJ2404122-001-0044,14.9,3.93,18.61,3.53,18.83,PASS,PASS,5.3,22.04,7.42,22.02,7.44,10001.25,48.69,10041.42,48.9,31483.67,57.42,31483.67,52.34,50.04604,50.02301,PASSED,PASSED,PASSED,PASSED,999.2,992,FAIL,Failed CheckCH1OnOffVoltage Test,
ZJ2404122-001-0044,14.89,3.95,18.78,3.84,18.8,PASS,PASS,5.28,22.04,7.42,22.01,7.44,10005,48.74,10041.42,48.9,31458.91,58.24,31458.91,56.19,49.96602,49.996,PASSED,PASSED,PASSED,PASSED,1023.2,977.6,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0044,14.9,3.94,18.79,3.49,18.82,PASS,PASS,5.28,22.04,7.43,22,7.48,10002.5,48.71,10041.42,48.91,31458.91,57.45,31458.91,51.24,49.97002,49.995,PASSED,PASSED,PASSED,PASSED,1006.4,984,FAIL,Failed CheckCH1OnOffVoltage Test,
ZJ2404122-001-0045,14.9,3.97,18.69,4.02,18.55,PASS,PASS,5.26,22.04,7.42,22,7.48,10005,48.7,10041.42,48.86,31372.55,57.84,31372.55,55.41,50.03302,49.92412,PASSING,PASSED,FAILED,FAILED,1009.6,1353.6,FAIL,Failed TestDCLinkPWMFreq,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0045,14.89,3.98,18.7,4.01,18.57,PASS,PASS,5.26,22.04,7.44,22.02,7.47,10000,48.66,10041.42,48.93,31384.86,57.51,31372.55,48.98,49.94506,49.97801,PASSED,PASSED,PASSED,PASSED,987.2,995.2,PASS,
ZJ2404122-001-0046,14.89,3.98,18.82,3.82,18.83,PASS,PASS,5.33,22.04,7.42,22.02,7.49,10005,48.76,10041.42,48.86,31323.41,57.09,31323.41,48.47,50.01601,49.9865,PASSED,PASSED,PASSED,PASSED,1016.8,988.8,FAIL,
ZJ2404122-001-0046,14.89,3.99,18.83,3.83,18.84,PASS,PASS,5.33,22.04,7.42,22.02,7.44,10002.5,48.72,10041.42,48.85,31335.68,57.85,31335.68,45.55,49.97901,49.94306,PASSING,PASSED,FAILED,FAILED,1004.8,1019.2,FAIL,Failed GenerateHiSideDSATFault Test,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0046,14.9,4.01,18.94,3.94,18.87,PASS,PASS,5.33,22.04,7.42,22.01,7.44,10003.75,48.74,10041.42,48.88,31347.96,57.88,31360.25,48.53,50.007,50.01901,PASSING,PASSED,PASSED,PASSED,1030.4,984,PASS,
ZJ2404122-001-0047,14.9,3.99,18.83,3.9,18.85,PASS,PASS,5.28,22.03,7.44,22,7.43,10002.5,48.74,10041.42,48.93,31384.86,57.47,31384.86,45.15,50.02001,49.96902,PASSING,PASSED,PASSED,PASSED,985.8,1358.4,PASS,
ZJ2404122-001-0048,14.88,4.08,18.8,3.86,18.67,PASS,PASS,5.31,22.03,7.42,22.01,7.45,10007.51,48.77,10041.42,48.88,31323.41,57.4,31311.15,45.28,50.0427,50.0297,PASSED,PASSED,PASSED,PASSED,990.6,1007.4,PASS,
ZJ2404122-001-0049,14.9,4.12,18.75,3.91,18.83,PASS,PASS,5.3,22.04,7.41,22.01,7.43,10003.75,48.72,10041.42,48.91,31471.28,58.22,31471.28,47.88,49.9291,50.02452,PASSED,PASSED,FAILED,FAILED,1013.6,1357.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0049,14.9,4.19,18.82,3.88,18.85,PASS,PASS,5.3,22.03,7.41,22,7.44,10003.75,48.73,10041.42,48.89,31446.54,58.22,31446.54,45.64,49.94706,50.04355,PASSED,PASSED,PASSED,PASSED,1005.6,1352,PASS,
ZJ2404122-001-0050,14.88,3.97,18.83,3.9,18.8,PASS,PASS,5.28,22.04,7.44,22,7.44,10003.75,48.77,10041.42,48.89,31397.17,57.85,31397.17,47.02,50.02001,50.09617,PASSED,PASSED,PASSED,PASSED,1002.4,992,PASS,
ZJ2404122-001-0051,14.91,4.01,18.55,3.93,18.75,PASS,PASS,5.32,22.03,7.41,22,7.43,10002.5,48.71,10041.42,48.88,31434.18,56.31,31434.18,45.78,49.98133,49.97301,PASSING,PASSED,PASSED,PASSED,1007.8,987.2,PASS,
ZJ2404122-001-0052,14.88,4,18.8,3.93,18.81,PASS,PASS,5.29,22.03,7.43,22.01,7.43,10005,48.74,10041.42,48.89,31372.55,57.84,31372.55,48.39,49.95604,50.02601,PASSED,PASSED,PASSED,PASSED,1028,1001.6,PASS,
ZJ2404122-001-0053,14.88,4.06,18.71,3.88,18.82,PASS,PASS,5.3,22.03,7.42,22,7.47,10005,48.7,10041.42,48.91,31446.54,56.64,31446.54,45.13,49.99633,50.04304,PASSING,PASSED,PASSED,PASSED,1001.6,1356.8,PASS,
ZJ2404122-001-0054,14.89,4.02,18.93,3.89,18.8,PASS,PASS,5.3,22.05,7.41,21.99,7.45,10003.75,48.72,10041.42,48.88,31311.15,57.1,31311.15,47.98,49.96103,49.94606,PASSING,PASSED,PASSED,PASSED,1004,998.4,PASS,
ZJ2404122-001-0055,14.9,4.05,18.78,3.69,18.93,PASS,PASS,5.32,22.05,7.44,22.02,7.45,10003.75,48.73,10041.42,48.91,31286.66,57.45,31286.66,47.99,50.04438,49.98599,PASSED,PASSED,PASSED,PASSED,1003.2,978.6,PASS,
ZJ2404122-001-0056,14.9,4.01,18.7,3.81,18.78,PASS,PASS,5.29,22.04,7.41,22.01,7.45,10003.75,48.72,10041.42,48.88,31384.86,57.08,31384.86,49.55,49.94522,49.9895,PASSED,PASSED,PASSED,PASSED,996.8,975.2,PASS,
ZJ2404122-001-0057,14.89,4.04,18.76,3.88,18.74,PASS,PASS,5.29,22.04,7.41,22.01,7.43,10005,48.75,10041.42,48.9,31397.17,57.06,31397.17,48.59,49.999,50.013,PASSED,PASSED,PASSED,PASSED,1009.6,1334.4,PASS,
ZJ2404122-001-0058,14.91,4.11,18.66,3.89,18.83,PASS,PASS,5.31,22.05,7.44,22.01,7.44,10002.5,48.7,10041.42,48.9,31384.86,57.87,31384.86,46.76,50.02501,50.05606,PASSED,PASSED,PASSED,PASSED,1002.2,1343.2,PASS,
ZJ2404122-001-0059,14.89,4.1,18.74,3.97,18.68,PASS,PASS,5.29,22.04,7.43,22.02,7.44,10005,48.69,10041.42,48.9,31384.86,57.04,31384.86,48.25,50.02267,49.987,PASSED,PASSED,PASSED,PASSED,1001.6,1356.8,FAIL,
ZJ2404122-001-0060,14.89,4,18.64,3.92,18.61,PASS,PASS,5.28,22.03,7.42,22.01,7.43,10002.5,48.74,10041.42,48.88,31434.18,57.09,31434.18,48.09,50.03603,50.01,PASSING,PASSED,PASSED,PASSED,1009.6,998.4,PASS,Failed GenerateHiSideDSATFault Test,
ZJ2404122-001-0061,14.9,4.04,18.67,3.87,18.73,PASS,PASS,5.29,22.04,7.42,22.01,7.42,10002.5,48.72,10041.42,48.88,31347.96,57.48,31347.96,48.47,50,50.006,PASSED,PASSED,PASSED,PASSED,1003.2,976.8,PASS,
ZJ2404122-001-0062,14.9,3.97,18.81,3.85,18.69,PASS,PASS,5.28,22.04,7.43,21.99,7.44,10001.25,48.73,10041.42,48.89,31397.17,57.46,31397.17,48.27,49.93907,49.98301,PASSED,PASSED,FAILED,FAILED,1011,978.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0062,14.89,3.99,18.84,3.86,18.67,PASS,PASS,5.31,22.05,7.42,22.02,7.48,10006.25,48.76,10041.42,48.9,31384.86,57.43,31372.55,47.69,49.96103,50.01849,PASSED,PASSED,PASSED,PASSED,1024,976.8,PASS,Failed GenerateHiSideDSATFault Test,
ZJ2404122-001-0063,14.9,4.01,18.75,3.93,18.69,PASS,PASS,5.31,22.05,7.41,22.02,7.42,10001.25,48.71,10041.42,48.93,31421.84,57.07,31421.84,48.31,49.993,50.04504,PASSED,PASSED,PASSED,PASSED,1003.2,979.2,PASS,
ZJ2404122-001-0064,14.9,3.95,18.86,3.88,18.97,PASS,PASS,5.29,22.04,7.42,22.02,7.46,10002.5,48.72,10041.42,48.89,31360.25,57.04,31347.96,48.75,50.02701,49.985,PASSED,PASSED,PASSED,PASSED,998.4,975.8,PASS,
ZJ2404122-001-0065,14.89,3.98,18.63,3.88,18.86,PASS,PASS,5.3,22.05,7.41,22,7.44,10006.25,48.71,10041.42,48.88,31409.5,57.09,31409.5,47.9,49.97401,49.995,PASSED,PASSED,PASSED,PASSED,1000,1320.8,PASS,
ZJ2404122-001-0066,14.88,3.92,18.74,3.88,18.57,PASS,PASS,5.3,22.04,7.41,22.02,7.43,10001.25,48.72,10041.42,48.88,31421.84,57.07,31421.84,58.37,49.94506,50.06007,PASSED,PASSED,FAILED,FAILED,994.4,1012,FAIL,Failed TestDCLinkPWMFreq,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0066,14.89,3.93,18.79,3.56,18.63,PASS,PASS,5.3,22.04,7.44,22.01,7.49,10002.5,48.75,10041.42,48.88,31446.54,57.08,31446.54,48.35,49.97801,49.95804,PASSED,PASSED,PASSED,PASSED,998.2,1341.6,FAIL,Failed CheckCH1OnOffVoltage Test,
ZJ2404122-001-0066,14.9,3.94,18.8,3.45,18.65,PASS,PASS,5.29,22.04,7.43,22.01,7.45,10003.75,48.72,10041.42,48.85,31421.84,57.07,31434.18,44.72,50.04604,50.002,PASSED,PASSED,PASSED,PASSED,1018.6,1331.2,FAIL,Failed CheckCH1OnOffVoltage Test,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0066,14.89,3.95,18.8,3.78,18.61,PASS,PASS,5.29,22.04,7.45,22.02,7.44,10005,48.72,10041.42,48.88,31409.5,57.09,31409.5,52.18,50.04003,49.989,PASSED,PASSED,PASSED,PASSED,988,1336.8,PASS,
ZJ2404122-001-0067,14.88,3.92,18.63,3.88,18.74,PASS,PASS,5.3,22.04,7.43,22.02,7.45,10002.5,48.69,10041.42,48.86,31397.17,57.46,31397.17,49.84,49.993,49.94506,PASSED,PASSED,PASSED,PASSED,1023,992,PASS,
ZJ2404122-001-0068,14.89,3.98,18.42,3.92,18.75,PASS,PASS,5.32,22.05,7.41,22.02,7.47,10002.5,48.7,10041.42,48.93,31458.91,57.85,31458.91,50.85,49.995,50.05523,PASSING,PASSED,PASSED,PASSED,992,994.4,PASS,
ZJ2404122-001-0069,14.9,3.94,18.9,3.9,18.8,PASS,PASS,5.29,22.04,7.42,22.03,7.44,10001.25,48.71,10041.42,48.89,31434.18,37.09,31434.18,52.06,50.03504,50.02701,PASSED,PASSED,FAILED,FAILED,972,991.2,FAIL,Failed TestTempraturePWMFreq,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0069,14.89,3.97,18.88,3.86,18.82,PASS,PASS,5.3,22.04,7.42,22.01,7.44,10003.75,48.73,10041.42,48.86,31409.5,57.05,31409.5,55.12,50.02401,50.04704,PASSING,PASSED,PASSED,PASSED,988,999.2,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0069,14.9,3.99,19,4.08,18.86,PASS,PASS,5.31,22.04,7.42,22.01,7.44,10003.75,48.76,10041.42,48.94,31409.5,57.48,31409.5,46.25,50.01901,50.012,PASSED,PASSED,PASSED,PASSED,989.8,984,PASS,
ZJ2404122-001-0070,14.89,4,18.84,3.9,18.83,PASS,PASS,5.3,22.04,7.41,22.01,7.44,10003.75,48.72,10041.42,48.93,31409.5,57.09,31409.5,43.89,50.013,49.9291,PASSED,PASSED,PASSED,PASSED,992,980,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0070,14.9,4.01,18.91,3.93,18.86,PASS,PASS,5.31,22.04,7.43,22,7.45,10003.75,48.74,10041.42,48.86,31397.17,57.85,31397.17,47.29,49.95404,50.004,PASSED,PASSED,FAILED,FAILED,988.8,964,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0070,14.88,4.06,18.93,4.1,18.92,PASS,PASS,5.32,22.03,7.43,22,7.45,10003.75,48.78,10041.42,48.89,31384.86,57.87,31384.86,48.69,50.05109,49.94805,PASSED,PASSED,PASSED,PASSED,988,972,PASS,
ZJ2404122-001-0071,14.88,4.01,18.75,3.82,18.81,PASS,PASS,5.34,22.03,7.42,22,7.43,10003.75,48.72,10041.42,48.91,31298.9,57.39,31298.9,46.05,50.05807,50.03903,PASSED,PASSED,PASSED,PASSED,1025.6,1321.6,PASS,
ZJ2404122-001-0072,14.89,4,18.66,3.85,18.76,PASS,PASS,5.33,22.01,7.42,22,7.44,10002.5,48.72,10041.42,48.88,31335.68,56.29,31335.68,47.67,49.96802,49.97301,PASSED,PASSED,PASSED,PASSED,1020.8,977.8,PASS,
ZJ2404122-001-0073,14.89,4.04,18.79,4.03,18.75,PASS,PASS,5.32,22.02,7.41,22,7.44,10005,48.69,10041.42,48.9,31384.86,57.08,31384.86,51.12,50.012,50.05406,PASSED,PASSED,PASSED,PASSED,1028.8,1324.8,PASS,
ZJ2404122-001-0074,14.88,4.06,18.68,3.85,18.66,PASS,PASS,5.31,22.01,7.42,21.97,7.43,10002.5,48.71,10041.42,48.89,31397.17,57.5,31397.17,47.72,50.06408,50.09418,PASSED,PASSED,PASSED,PASSED,1005.6,1343.2,PASS,
ZJ2404122-001-0075,14.88,4.07,18.76,4.05,18.82,PASS,PASS,5.29,22.02,7.42,22.04,7.46,10003.75,48.72,10041.42,48.89,31446.54,58.22,31446.54,48.07,49.99033,50.02902,PASSING,PASSED,PASSED,PASSED,1000.8,1355.2,PASS,
ZJ2404122-001-0076,14.89,3.91,18.73,3.84,18.74,PASS,PASS,5.3,22.02,7.42,21.99,7.44,10003.75,48.69,10041.42,48.9,31409.5,56.73,31409.5,49.67,50.00251,49.98301,PASSED,PASSED,PASSED,PASSED,1017.6,1008,PASS,
ZJ2404122-001-0077,14.91,4.06,18.79,4.01,18.7,PASS,PASS,5.3,22.01,7.43,21.99,7.45,10001.25,48.73,10041.42,48.91,31421.84,57.07,31421.84,48.55,50.06408,50.04107,PASSED,PASSED,PASSED,PASSED,993.6,1344.8,PASS,
ZJ2404122-001-0078,14.88,4,18.57,3.92,18.76,PASS,PASS,5.32,22.02,7.43,21.98,7.44,10005,48.69,10041.42,48.88,31409.5,57.4,31409.5,51.08,50.06208,50.007,PASSING,PASSED,PASSED,PASSED,1005.8,985.6,PASS,
ZJ2404122-001-0079,14.89,3.97,18.67,3.95,18.73,PASS,PASS,5.31,22.01,7.41,21.99,7.44,10000,48.7,10041.42,48.89,31421.84,57.86,31421.84,49.25,49.998,50.01,PASSED,PASSED,PASSED,PASSED,994.4,1336.8,PASS,
ZJ2404122-001-0080,14.88,3.93,18.75,3.91,18.88,PASS,PASS,5.31,22.01,7.43,21.98,7.44,10001.25,48.71,10041.42,48.91,31262.21,57.05,31262.21,48.57,49.94706,50.03903,PASSED,PASSED,PASSED,PASSED,1006.6,1004.8,PASS,
ZJ2404122-001-0081,14.89,3.99,18.79,3.8,19.02,PASS,PASS,5.32,22,7.42,21.99,7.5,10002.5,48.67,10041.42,48.95,31397.17,57.5,31397.17,54.08,49.996,50.009,PASSING,PASSED,FAILED,FAILED,1012.8,967.2,FAIL,Failed TestDCLinkPWMFreq,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0081,14.88,4.01,18.81,4.03,19.09,PASS,PASS,5.32,22.01,7.41,21.99,7.45,10002.5,48.71,10041.42,48.9,31421.84,57.07,31421.84,49.76,49.9592,50.042,PASSING,PASSED,PASSED,PASSED,1006.4,997,PASS,
ZJ2404122-001-0082,14.89,4.03,18.72,3.99,18.77,PASS,PASS,5.34,22,7.42,21.98,7.43,10005,48.75,10041.42,48.91,31409.5,57.05,31397.17,48.08,49.991,50.04404,PASSED,PASSED,PASSED,PASSED,1000,1356.8,PASS,
ZJ2404122-001-0083,14.89,4.12,18.79,4.01,18.91,PASS,PASS,0.96,22.02,7.42,21.99,7.44,10003.75,48.73,10041.42,48.94,31311.15,58.24,31311.15,46.3,50.01801,50.01499,PASSING,PASSED,PASSED,PASSED,994.4,978.2,FAIL,Failed Test Output Voltage 5V,
ZJ2404122-001-0083,14.89,4.09,18.84,4.03,18.86,PASS,PASS,5.31,22.02,7.43,21.97,7.45,10005,48.76,10041.42,48.91,31311.15,57.85,31298.9,48.44,49.99999,49.98103,PASSING,PASSED,PASSED,PASSED,982.4,991.2,PASS,
ZJ2404122-001-0084,14.88,4.01,18.44,3.87,18.53,PASS,PASS,5.31,22,7.42,21.97,7.45,10002.5,48.66,10041.42,48.86,31409.5,57.48,31409.5,48.96,50.01901,49.93704,PASSED,PASSED,PASSED,PASSED,1015,1010.4,PASS,
ZJ2404122-001-0085,14.89,4.01,18.71,3.79,18.77,PASS,PASS,5.34,22,7.44,21.97,7.44,10006.25,48.72,10041.42,48.9,31421.84,57.42,31421.84,48.55,49.95421,50.013,PASSED,PASSED,FAILED,FAILED,1010.6,1348,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0085,14.88,4.01,18.74,3.8,18.82,PASS,PASS,5.33,22.01,7.46,21.97,7.44,10005,48.7,10041.42,48.89,31421.84,58.25,31421.84,46.54,49.8884,50.01801,PASSING,PASSED,PASSED,PASSED,996.8,1362.4,PASS,
ZJ2404122-001-0086,14.89,3.95,18.78,3.48,18.74,PASS,PASS,5.33,22,7.43,21.98,7.44,10000,48.68,10041.42,48.86,31384.86,57.47,31384.86,55.24,49.992,50.03302,PASSED,PASSED,PASSED,PASSED,994.2,1354.4,FAIL,Failed CheckCH1OnOffVoltage Test,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0086,14.91,3.97,18.82,3.91,18.81,PASS,PASS,5.31,21.99,7.43,21.98,7.45,10005,48.75,10041.42,48.9,31397.17,57.93,31397.17,48.55,49.94306,50.01801,PASSED,PASSED,FAILED,FAILED,1019.2,1363.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0086,14.89,4.04,18.84,3.97,18.82,PASS,PASS,5.33,22,7.44,21.98,7.45,10003.75,48.74,10041.42,48.88,31397.17,57.89,31397.17,46.35,49.92212,49.97401,PASSING,PASSED,FAILED,FAILED,1028,1377.6,FAIL,Failed GenerateHiSideDSATFault Test,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0087,14.88,4.04,18.74,3.74,18.87,PASS,PASS,5.32,22,7.42,21.97,7.44,10002.5,48.7,10041.42,25.79,31384.86,57.47,31384.86,49.27,49.96303,50.01,PASSED,PASSED,PASSED,PASSED,994.4,1344,FAIL,Failed TestCH2Frequency,
ZJ2404122-001-0087,14.88,4.05,18.76,3.85,18.89,PASS,PASS,5.32,22,7.43,21.97,7.45,10003.75,48.71,10041.42,48.86,31372.55,57.8,31372.55,45.22,50.02902,50.003,PASSING,PASSED,PASSED,PASSED,1008,1344,PASS,Failed GenerateHiSideDSATFault Test,
ZJ2404122-001-0088,14.89,4.03,18.64,3.95,18.74,PASS,PASS,5.34,22.01,7.43,21.97,7.44,10001.25,48.72,10041.42,48.9,31434.18,57.92,31434.18,47.54,50.007,49.988,PASSED,PASSED,PASSED,PASSED,1004,977.6,PASS,
ZJ2404122-001-0089,14.87,3.97,18.84,3.95,18.72,PASS,PASS,5.33,22.01,7.44,21.97,7.45,10000,48.7,10041.42,48.85,31421.84,58.25,31421.84,49.65,49.989,50.01701,PASSED,PASSED,PASSED,PASSED,1004,980.8,PASS,
ZJ2404122-001-0090,14.88,4.23,18.78,3.99,18.76,PASS,PASS,0.96,22,7.43,21.99,7.47,10003.75,48.71,10041.42,48.86,31323.41,58.26,31323.41,48.67,50.04003,49.996,PASSED,PASSED,PASSED,PASSED,984,1000,FAIL,Failed Test Output Voltage 5V,
ZJ2404122-001-0090,14.88,4.2,18.84,3.9,18.7,PASS,PASS,5.29,21.99,7.43,21.99,7.45,10002.5,48.7,10041.42,48.89,31298.9,59.43,31298.9,52,50.02201,50.02501,PASSED,PASSED,PASSED,PASSED,1029.6,996,PASS,
ZJ2404122-001-0091,14.88,4.07,18.79,3.82,18.93,PASS,PASS,5.32,22.05,7.43,21.98,7.45,10005,48.7,10041.42,48.89,31434.18,57.09,31434.18,48.09,49.98101,50.04103,PASSED,PASSED,PASSED,PASSED,995.4,1004.2,PASS,
ZJ2404122-001-0092,14.88,4.1,18.69,3.75,18.78,PASS,PASS,5.38,22.01,7.43,21.98,7.44,10003.75,48.76,10041.42,48.88,31311.15,57.46,31311.15,45.13,50.05505,49.989,PASSED,PASSED,FAILED,FAILED,1038.4,986.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0092,14.9,4.07,18.81,3.96,18.79,PASS,PASS,5.38,22,7.43,21.98,7.46,10005,48.7,10041.42,48.89,31298.9,57.43,31298.9,51.96,49.98899,49.98301,PASSED,PASSED,PASSED,PASSED,1006.4,989.6,PASS,
ZJ2404122-001-0093,14.87,4.05,18.67,4.01,18.61,PASS,PASS,5.35,21.99,7.43,21.97,7.45,10003.75,48.72,10041.42,48.85,31434.18,57.05,31434.18,47.66,50.01,50.03903,PASSED,PASSED,FAILED,FAILED,996,1005.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0093,14.88,4.08,18.69,4,18.64,PASS,PASS,5.35,22,7.44,21.96,7.45,10003.75,48.69,10041.42,48.89,31434.18,57.09,31434.18,49,50.04905,49.957,PASSING,PASSED,PASSED,PASSED,988.8,992.8,PASS,
ZJ2404122-001-0094,14.87,3.99,18.67,3.88,18.72,PASS,PASS,5.33,21.99,7.43,21.96,7.48,10005,48.77,10041.42,48.89,31409.5,57.44,31421.84,43.72,50.06408,50.02001,PASSED,PASSED,FAILED,FAILED,1004.8,1338.4,FAIL,Failed TestDCLinkPWMFreq,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
