Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0853,14.87,4.1,18.75,4.05,18.68,PASS,FAIL,PASS,PASS,5.35,21.98,7.43,21.97,7.45,10004,49,10041,49,31434,4,31434,24,50.04304,49.97152,PASSING,PASSED,PASSED,PASSED,999.2,1358.4,FAIL,Failed FUNC_OVLO_CHECK, Failed FUNC_TEMPMON_CHECK, 
ZJ2404122-001-0853,14.87,4.15,18.81,3.99,18.79,PASS,PASS,PASS,PASS,5.35,21.98,7.43,21.96,7.48,10001,49,10041,49,31397,57,31397,48,50.009,50.0115,PASSED,PASSED,PASSED,PASSED,1001.6,1012.6,PASS,
ZJ2404122-001-0854,14.87,4.01,18.66,3.99,18.71,PASS,PASS,PASS,PASS,5.36,21.96,7.43,21.96,7.44,10004,49,10041,49,31385,57,31385,48,50.004,50.01704,PASSING,PASSED,PASSED,PASSED,1014.6,995.2,PASS,
ZJ2404122-001-0856,14.88,4.03,18.59,3.74,18.73,PASS,PASS,PASS,PASS,5.34,21.97,7.45,21.94,7.49,10004,49,10041,49,31410,57,31410,49,49.96702,50.015,PASSED,PASSED,PASSED,PASSED,1040,1348.8,PASS,
ZJ2404122-001-0855,14.87,4.07,18.55,3.9,18.71,PASS,PASS,PASS,PASS,5.35,21.97,7.44,21.96,7.48,10005,49,10041,49,31410,57,31410,49,50.014,50.009,PASSING,PASSED,PASSED,PASSED,1008.8,1003,PASS,
ZJ2404122-001-0857,14.88,4.06,18.64,4,18.62,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.92,7.45,10005,49,10041,49,31410,57,31410,50,49.986,50.07816,PASSED,PASSED,PASSED,PASSED,1001.6,1003.2,PASS,
ZJ2404122-001-0858,14.88,4.24,19.35,4.23,19.25,PASS,PASS,PASS,PASS,5.34,21.96,7.45,21.93,7.43,10008,49,10041,49,31348,57,31348,48,50.02054,49.95604,PASSED,PASSED,PASSED,PASSED,1003.2,1345.6,PASS,
ZJ2404122-001-0859,14.87,4,18.63,3.93,18.61,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.94,7.45,10001,49,10041,49,31373,57,31373,49,50.05506,49.95704,PASSING,PASSED,PASSED,PASSED,1031.2,984.8,PASS,
ZJ2404122-001-0860,14.87,4.02,18.73,4.02,18.73,PASS,PASS,PASS,PASS,5.35,21.95,7.44,21.95,7.45,10005,49,10041,49,31360,58,31360,48,49.97301,50.04504,PASSED,PASSED,PASSED,PASSED,985.6,1016.6,PASS,
ZJ2404122-001-0861,14.88,4.15,18.57,3.95,18.64,PASS,PASS,PASS,PASS,5.4,21.97,7.46,21.94,7.45,10006,49,10041,49,31422,58,31422,48,50.013,49.98201,PASSED,PASSED,PASSED,PASSED,1007,992,PASS,
ZJ2404122-001-0862,14.88,4.17,18.5,3.93,18.76,PASS,PASS,PASS,PASS,5.36,21.97,7.44,21.95,7.44,10001,49,10041,49,31373,57,31385,48,50.005,50.00549,PASSING,PASSED,PASSED,PASSED,1012.8,995.2,PASS,
ZJ2404122-001-0863,14.87,4.3,19.16,4.24,19.17,PASS,PASS,PASS,PASS,5.34,21.94,7.44,21.94,7.45,10004,49,10041,49,31299,58,31299,48,49.96303,50.01103,PASSED,PASSED,PASSED,PASSED,1014.4,1330.4,PASS,
ZJ2404122-001-0864,14.87,4.02,18.69,3.92,18.74,PASS,PASS,PASS,PASS,5.33,21.97,7.45,21.93,7.46,10001,49,10041,49,31434,57,31434,49,49.95804,50.04858,PASSED,PASSED,PASSED,PASSED,1002.4,980.8,PASS,
ZJ2404122-001-0865,14.87,4.04,18.72,4.01,18.85,PASS,PASS,PASS,PASS,5.37,21.97,7.44,21.93,7.45,10005,49,10041,49,31410,59,31410,52,49.95105,49.96253,PASSING,PASSED,PASSED,PASSED,992.6,1012.8,PASS,
ZJ2404122-001-0866,14.88,4.13,18.38,3.98,18.61,PASS,PASS,PASS,PASS,5.36,21.98,7.47,21.95,7.5,10006,49,10041,49,31410,57,31410,47,49.997,50.01,PASSED,PASSED,PASSED,PASSED,976,1008,PASS,
ZJ2404122-001-0867,14.87,4.02,18.78,3.89,18.72,PASS,PASS,PASS,PASS,5.36,21.97,7.44,21.93,7.45,10005,49,10041,49,31385,58,31397,49,50.03402,50.0711,PASSED,PASSED,PASSED,PASSED,1013.8,1008,PASS,
ZJ2404122-001-0868,14.87,4.06,18.55,4.08,18.74,PASS,PASS,PASS,PASS,5.37,21.97,7.43,21.93,7.44,10003,49,10041,49,31360,58,31360,48,49.95903,49.96802,PASSED,PASSED,FAILED,FAILED,1023.2,1012,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0869,14.88,4.16,18.66,4.11,18.56,PASS,PASS,PASS,PASS,1.02,21.96,7.43,21.94,7.45,10004,49,10041,49,31373,57,31373,48,50.03402,49.96902,PASSED,PASSED,PASSED,PASSED,1002.4,1338.4,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-0869,14.88,4.05,18.69,4.07,18.59,PASS,PASS,PASS,PASS,5.35,21.96,7.46,21.94,7.46,10005,49,10041,49,31385,58,31385,50,49.95704,49.93608,PASSING,PASSED,PASSED,PASSED,1005.6,1344.8,PASS,
ZJ2404122-001-0868,14.86,4.07,18.62,4.01,18.75,PASS,PASS,PASS,PASS,5.38,21.97,7.43,21.94,7.45,10004,49,10041,49,31373,58,31360,49,50.001,49.97004,PASSING,PASSED,FAILED,FAILED,1012.8,1004.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0870,14.87,4,18.73,3.93,18.68,PASS,PASS,PASS,PASS,5.37,21.97,7.45,21.94,7.45,10003,49,10041,49,31410,57,31410,48,50.012,49.93309,PASSED,PASSED,PASSED,PASSED,1008.2,993.8,PASS,
ZJ2404122-001-0868,14.89,4.04,18.62,4,18.73,PASS,PASS,PASS,PASS,5.37,21.97,7.44,21.94,7.44,10004,49,10041,49,31373,58,31373,47,49.997,50,PASSING,PASSED,PASSED,PASSED,1019.2,979.4,PASS,
ZJ2404122-001-0871,14.88,4.19,19.19,4.75,18.56,PASS,PASS,PASS,PASS,5.36,21.97,7.45,21.95,7.45,10005,49,10041,49,31397,58,31397,53,50,49.989,PASSED,PASSED,PASSED,PASSED,992,988,PASS,
ZJ2404122-001-0872,14.87,4.01,18.83,4.13,18.75,PASS,PASS,PASS,PASS,5.37,21.96,7.45,21.94,7.5,10003,49,10041,49,31373,58,31373,51,50.04604,50.01,PASSED,PASSED,PASSED,PASSED,997.6,1340.8,PASS,
ZJ2404122-001-0873,14.88,4.01,18.68,4.06,18.65,PASS,PASS,PASS,PASS,5.37,21.97,7.43,21.92,7.45,10003,49,10041,49,31397,58,31397,48,50.07411,50.04704,PASSED,PASSED,FAILED,FAILED,1011.2,1348,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0872,14.89,3.99,18.81,4.09,18.75,PASS,PASS,PASS,PASS,5.38,21.96,7.44,21.95,7.46,10003,49,10041,49,31360,59,31373,51,49.93209,49.97598,PASSING,PASSED,PASSED,PASSED,1006.4,991.2,PASS,
ZJ2404122-001-0873,14.87,4.01,18.7,4.06,18.69,PASS,PASS,PASS,PASS,5.36,21.97,7.44,21.92,7.46,10001,49,10041,49,31397,57,31397,49,49.991,50.01805,PASSED,PASSED,PASSED,PASSED,993.6,1352,PASS,
ZJ2404122-001-0874,14.88,4.17,19.15,4.38,18.8,PASS,PASS,PASS,PASS,5.34,21.96,7.44,21.94,7.45,10001,49,10041,49,31385,58,31397,49,49.991,49.98198,PASSED,PASSED,PASSED,PASSED,999.4,1020,PASS,
ZJ2404122-001-0875,14.87,3.96,18.6,3.98,18.62,PASS,PASS,PASS,PASS,5.37,21.97,7.44,21.91,7.45,10006,49,10041,49,31397,58,31410,51,49.98001,49.90817,PASSING,PASSED,FAILED,FAILED,1012,1331.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0875,14.88,4.01,18.67,4.1,18.66,PASS,PASS,PASS,PASS,5.36,21.97,7.46,21.85,7.46,10003,49,10041,49,31397,58,31397,48,49.987,50.03703,PASSING,PASSED,PASSED,PASSED,1006.4,1345.6,PASS,
ZJ2404122-001-0876,14.89,4.01,18.74,4.04,18.78,PASS,PASS,PASS,PASS,5.37,21.95,7.44,21.89,7.45,10005,49,10041,49,31410,57,31410,48,49.996,49.991,PASSED,PASSED,FAILED,FAILED,1006.4,1337.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0876,14.87,4.02,18.76,4.1,18.77,PASS,PASS,PASS,PASS,5.35,21.92,7.44,21.86,7.45,10001,49,10041,49,31385,58,31397,48,50.05506,49.992,PASSED,PASSED,PASSED,PASSED,1026.2,1372.8,PASS,
ZJ2404122-001-0877,14.89,4.07,18.71,3.96,18.82,PASS,PASS,PASS,PASS,5.35,21.97,7.44,21.92,7.45,10005,49,10041,49,31373,57,31385,48,49.92809,49.96702,PASSING,PASSED,PASSED,PASSED,1018.4,993.8,PASS,
ZJ2404122-001-0878,14.87,4.1,18.77,3.97,18.74,PASS,PASS,PASS,PASS,5.35,21.97,7.43,21.93,7.44,10005,49,10041,49,31434,58,31434,48,50.07508,50.08715,PASSING,PASSED,PASSED,PASSED,974.2,981,PASS,
ZJ2404122-001-0879,14.88,4.04,18.69,3.82,18.63,PASS,PASS,PASS,PASS,5.33,21.93,7.45,21.92,7.45,10003,49,10041,49,31410,56,31410,47,49.99903,49.98401,PASSED,PASSED,PASSED,PASSED,1000,990.4,PASS,
ZJ2404122-001-0880,14.87,4.22,18.58,4.02,18.71,PASS,PASS,PASS,PASS,5.38,21.92,7.43,21.93,7.5,10000,49,10041,49,31397,58,31410,46,49.97801,50.03152,PASSED,PASSED,PASSED,PASSED,1009.6,980.8,PASS,
ZJ2404122-001-0881,0.79,9.91E+34,9.91E+34,PASSING,PASSING,PASSING,PASSING,9.91E+46,9.91E+46,FAIL,Pos 15 V Check Failed , Failed Low Side Trigger Frequency Test , Failed High Side Trigger Frequency Test , Failed Low Side Deadtime Test , Failed High Side Deadtime Test 
ZJ2404122-001-0881,0.78,9.91E+34,9.91E+34,PASSING,PASSING,PASSING,PASSING,9.91E+46,9.91E+46,FAIL,Pos 15 V Check Failed , Failed Low Side Trigger Frequency Test , Failed High Side Trigger Frequency Test , Failed Low Side Deadtime Test , Failed High Side Deadtime Test 
ZJ2404122-001-0882,14.87,4.11,18.63,3.89,18.68,PASS,PASS,PASS,PASS,5.38,21.97,7.47,21.96,7.45,10004,49,10041,49,31496,57,31496,51,49.98104,49.92312,PASSED,PASSED,PASSED,PASSED,1000,986.4,FAIL,Failed FUNC_CHECK_POS_15V, Failed FUNC_DSAT_LO, 
ZJ2404122-001-0882,14.89,4.12,18.66,3.92,18.72,PASS,PASS,PASS,PASS,5.38,21.97,7.44,21.95,7.51,10004,49,10041,49,31484,58,31484,50,50.01,50.04805,PASSED,PASSED,PASSED,PASSED,991.2,1026.4,PASS,
ZJ2404122-001-0881,14.87,4.04,18.74,4.04,18.74,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.95,7.45,10004,49,10041,49,31348,58,31348,48,50.005,50.07812,PASSED,PASSED,PASSED,PASSED,1024.8,1367.2,PASS,
ZJ2404122-001-0883,14.87,4.16,18.47,3.94,18.66,PASS,PASS,PASS,PASS,5.38,21.98,7.44,21.95,7.45,10003,49,10041,49,31348,57,31336,49,49.96802,50.01853,PASSING,PASSED,PASSED,PASSED,989.6,1360.8,PASS,
ZJ2404122-001-0883,14.87,4.12,18.57,3.95,18.67,PASS,PASS,PASS,PASS,5.38,21.98,7.44,21.94,7.47,10004,49,10041,49,31360,59,31348,48,50.03903,49.97102,PASSING,PASSED,FAILED,FAILED,1002.4,1380,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0883,14.87,4.19,18.64,3.92,18.61,PASS,PASS,PASS,PASS,5.39,21.98,7.45,21.95,7.45,10005,49,10041,49,31348,58,31348,49,50.01901,50.02501,PASSED,PASSED,FAILED,FAILED,1020.8,1336.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0884,14.89,4.14,18.7,4.04,18.63,PASS,PASS,PASS,PASS,5.35,21.97,7.45,21.94,7.45,10005,49,10041,49,31434,58,31434,48,50.014,50.007,PASSED,PASSED,FAILED,FAILED,1015.2,1349.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0885,14.88,4,18.71,3.95,18.77,PASS,PASS,PASS,PASS,5.35,21.95,7.45,21.94,7.45,10003,49,10041,49,31447,57,31447,49,50.00884,50.05107,PASSED,PASSED,PASSED,PASSED,1009.6,989.4,PASS,
ZJ2404122-001-0886,14.88,4,18.76,3.95,18.75,PASS,PASS,PASS,PASS,5.35,21.95,7.44,21.93,7.46,10003,49,10041,49,31410,58,31410,47,49.96702,49.98001,PASSED,PASSED,PASSED,PASSED,1006.4,1344,PASS,
ZJ2404122-001-0887,14.87,4.22,18.79,4.01,18.81,PASS,PASS,PASS,PASS,5.36,21.97,7.45,21.95,7.49,10006,49,10041,49,31422,57,31422,52,49.96403,49.97503,PASSED,PASSED,PASSED,PASSED,1007.2,997.6,PASS,
ZJ2404122-001-0888,14.89,4.11,18.69,3.75,18.7,PASS,PASS,PASS,PASS,5.35,21.95,7.45,21.93,7.48,10001,49,10041,49,31434,57,31434,52,50.02902,49.91314,PASSED,PASSED,PASSED,PASSED,1011.2,988.6,PASS,
ZJ2404122-001-0889,14.89,4.08,18.72,4,18.73,PASS,PASS,PASS,PASS,5.38,21.97,7.46,21.95,7.5,10003,49,10041,49,31385,58,31385,49,50.03705,50.00852,PASSED,PASSED,PASSED,PASSED,1026.2,983.2,PASS,
ZJ2404122-001-0890,14.88,4.12,18.78,4.06,18.81,PASS,PASS,PASS,PASS,1.02,21.98,7.45,21.95,7.46,10004,49,10041,49,31373,57,31373,47,50.041,50.001,PASSING,PASSED,PASSED,PASSED,999,978.4,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-0891,14.87,4.03,18.74,4.01,18.64,PASS,PASS,PASS,PASS,5.34,21.97,7.43,21.94,7.46,10005,49,10041,49,31397,58,31397,49,50.02101,50.02598,PASSED,PASSED,PASSED,PASSED,1011.4,1344.8,PASS,
ZJ2404122-001-0892,14.88,4.04,18.71,3.86,18.67,PASS,PASS,PASS,PASS,5.31,21.99,7.44,21.95,7.45,10006,49,10041,49,31323,57,31323,46,50.00201,50.01203,PASSING,PASSED,PASSED,PASSED,1007.2,974.4,PASS,
ZJ2404122-001-0893,14.88,4.05,18.58,4.01,18.65,PASS,PASS,PASS,PASS,5.37,21.98,7.46,21.95,7.45,10005,49,10041,49,31434,57,31434,48,50.002,49.96203,PASSING,PASSED,PASSED,PASSED,994.2,1017.4,PASS,
ZJ2404122-001-0891,14.88,4.03,18.77,3.95,18.65,PASS,PASS,PASS,PASS,5.33,21.98,7.44,21.95,7.46,9999,49,10041,49,31397,57,31410,46,50.01801,50.02398,PASSED,PASSED,FAILED,FAILED,1017.4,1347.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0891,14.88,4.04,18.8,3.97,18.66,PASS,PASS,PASS,PASS,5.33,21.97,7.43,21.95,7.46,10003,49,10041,49,31385,57,31385,52,49.96403,50.004,PASSED,PASSED,PASSED,PASSED,1018.4,1337.6,PASS,
